밟고,밥꼬
밟다,밥따
밟기,밥끼
읽다,익따
읽게,일께
읽고,일꼬
읽지,익찌
뱃속,배쏙/밷쏙
디귿을,디그슬
금융,금늉/그뮹
싣지,싣찌
맑게,말께
맑지만,막찌만
맑다,막따
맑고,말꼬
얇지,얄찌
훑고,훌꼬
훑지,훌찌
읊고,읍꼬
늙고,늘꼬
늙지,늑찌
은혜,은혜/은헤
앓는,알른
의견란,의견난
이글이글,이글리글/이그리글
뚫네,뚤레
불볕더위,불볃떠위
색연필,생년필
옷맵시,온맵씨
식용유,시굥뉴
밟게,밥께
핥다,할따
우리의,우리의/우리에
계시다,게시다/계시다
차례,차례
귀띔,귀띰/귀띔
폭발,폭빨
밭이랑,반니랑/바치랑
밭,받
반창고,반창고
인기척,인끼척/인기척
밭을,바틀
협의,혀비/혀븨
난치병,난치뼝
면허증,면허쯩
사기죄,사기쬐
유리잔,유리잔
김밥만,김밤만
공권력,공꿘녁
닳는,달른
닳지,달치
여덟이,여덜비
여덟,여덜
머리말을,머리마를
낫으로,나스로
헛웃음,허두슴
엷다,열따
되어,되어/되여
피어,피어/피여
맛없다,마덥따
아니오,아니오/아니요
멋있다,머딛따/머싣따
맛있다,마딛따/마싣따
끝을,끄틀
피읖에,피으베
닭앞에,다가페
밭아래,바다래
휘발유,휘발류
넓다,널따
넓죽하다,넙쭈카다
넓둥글다,넙뚱글다
넓둥글게,넙뚱글게
결단력,결딴녁
상견례,상견녜
서울역,서울력
다쳐,다처/다쳐
많소,만쏘
혜택,혜택/헤택
없애다,업쌔다
개폐,개폐/개페
밝고,발꼬
무릎이,무르피
지읒을,지으슬
송별연,송벼련
읊다,읍따
겉옷,거돋
묽고,물꼬
할밖에,할빠께
부엌이,부어키
꽃이,꼬치
무릎을,무르플
이원론,이원논
동원령,동원녕
임진란,임진난
몰상식,몰쌍식
갈증,갈쯩
남존여비,남존녀비
몫몫이,몽목씨
촛불,초뿔/촏뿔
밥맛,밤맏
한국,한국
꽃받침,꼳빧침
물속,물쏙
발사,발싸
불새,불쌔
날삯,날싹
대팻밥,대패빱/대팯빱
유들유들,유들류들/유드류들
강가,강까
윗잇몸,윈닌몸
웃옷,우돋
윗변,윋뼌
웃돈,욷똔
늑막염,능망념
서른여섯,서른녀섣
꽃잎,꼰닙
한여름,한녀름
막일,망닐
닭을,달글
쌓인,싸인
끓는,끌른
웃기기도,욷끼기도
넋이,넉씨
무릎과,무릅꽈
떫다,떨따
김밥,김밥
해님,해님
밟히다,발피다
주의,주이/주의
짧지,짤찌
씌어,씨어/씨여/씌어
지혜,지혜/지헤
넓고,널꼬
밝게,발께
삯일,상닐
젊다,점따
담요,담뇨
밟소,밥쏘
밟지,밥찌
흙과,흑꽈
닁큼,닝큼/닁큼
불법을,불버블
읽지도,익찌도
넓고도,널꼬도
